02912	28806023	com	Open COM3 @ 115200 baud Ctrl-X (UsbSerial)
04310	28975538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04311	28975782	tx	[3F]
04312	28975788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04313	28976033	tx	[3F]
04314	28976038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04315	28976284	tx	[3F]
04316	28976292	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04317	28976533	tx	[3F]
04318	28976539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04319	28976783	tx	[3F]
04320	28976791	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04321	28977032	tx	[3F]
04322	28977040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04323	28977282	tx	[3F]
04324	28977293	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04325	28977532	tx	[3F]
04326	28977537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04327	28977783	tx	[3F]
04328	28977789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04329	28978033	tx	[3F]
04330	28978039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04331	28978284	tx	[3F]
04332	28978291	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04333	28978534	tx	[3F]
04334	28978539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04335	28978785	tx	[3F]
04336	28978796	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04337	28979032	tx	[3F]
04338	28979037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04339	28979282	tx	[3F]
04340	28979297	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04341	28979533	tx	[3F]
04342	28979541	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04343	28979784	tx	[3F]
04344	28979801	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04345	28980033	tx	[3F]
04346	28980039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04347	28980282	tx	[3F]
04348	28980291	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04349	28980533	tx	[3F]
04350	28980539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04351	28980783	tx	[3F]
04352	28980788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04353	28981034	tx	[3F]
04354	28981039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04355	28981282	tx	[3F]
04356	28981287	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04357	28981533	tx	[3F]
04358	28981538	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04359	28981782	tx	[3F]
04360	28981789	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04361	28982033	tx	[3F]
04362	28982039	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04363	28982282	tx	[3F]
04364	28982288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04365	28982534	tx	[3F]
04366	28982539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04367	28982782	tx	[3F]
04368	28982788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04369	28983032	tx	[3F]
04370	28983037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04371	28983282	tx	[3F]
04372	28983287	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04373	28983532	tx	[3F]
04374	28983542	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04375	28983782	tx	[3F]
04376	28983787	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04377	28984032	tx	[3F]
04378	28984037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04379	28984282	tx	[3F]
04380	28984291	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04381	28984532	tx	[3F]
04382	28984539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04383	28984782	tx	[3F]
04384	28984788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04385	28985032	tx	[3F]
04386	28985037	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04387	28985283	tx	[3F]
04388	28985290	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04389	28985532	tx	[3F]
04390	28985537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04391	28985783	tx	[3F]
04392	28985788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04393	28986032	tx	[3F]
04394	28986038	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04395	28986282	tx	[3F]
04396	28986288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04397	28986532	tx	[3F]
04398	28986537	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04399	28986782	tx	[3F]
04400	28986794	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
04401	28987032	tx	[3F]
04402	28987042	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|Ov:100,100,100>\r
04403	28987282	tx	[3F]
04404	28987288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04405	28987543	tx	[3F]
04406	28987549	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04407	28987783	tx	[3F]
04408	28987788	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04409	28988032	tx	[3F]
04410	28988047	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04411	28988282	tx	[3F]
04412	28988288	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04413	28988532	tx	[3F]
04414	28988539	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04415	28988782	tx	[3F]
04416	28988787	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04417	28989032	tx	[3F]
04418	28989040	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0>\r
04419	28989282	tx	[3F]
04420	28989289	rx	<Idle|MPos:0.000,0.000,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
